"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT3,rBT4,BT2,rBT2,BT4,rBT3,rBT1,BT1";"Breakaway_Tabs";8;"Breakaway Tabs";;;
2;"RE1-3,RE1-2,RE2-2,rRE2-2,RE2-3,rRE1-3,rRE1-2,rRE2-3";"rotary_encoder_EC05E";8;"EC05E";;;
3;"rRE2,RE1,RE2,rRE1";"rotary_encoder_EC05E_Vert";4;"EC05E_vert";;;
4;"G***,G***,G***,G***";"gecko-copper_No_mask_small";4;"LOGO";;;
5;"rJ3,J3";"OLED";2;"Conn_01x04";;;
6;"C1,rC2,C2,rC1";"C_0402_1005Metric";4;"27p";;;
7;"J4,rJ4";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
8;"ZD1,rZD1";"D_SOD-523";2;"RB521S30T1G";;;
9;"SW4,rSW13,rSW20,rSW21,SW9,SW5,rSW7,rSW9,SW13,SW11,SW14,rSW22,rSW16,SW8,rSW18,SW12,rSW10,SW19,rSW14,rSW3,rSW4,rSW19,SW17,SW23,rSW8,SW7,rSW23,rSW5,rSW6,rSW15,rSW17,SW16,rSW12,SW10,SW15,SW21,SW22,SW20,rSW2,SW18,SW2,SW6,SW3,rSW11";"keyswitch_choc12_hotswap_1u";44;"SW_Push";;;
10;"LED18,rLED1,LED3,rLED20,rLED23,rLED3,LED19,LED5,rLED2,LED8,LED10,rLED19,LED12,rLED14,rLED15,LED22,rLED7,rLED18,LED15,LED1,LED13,LED23,LED21,LED7,rLED9,rLED6,LED16,rLED17,LED9,LED17,LED6,rLED10,rLED12,rLED22,rLED16,rLED4,LED11,rLED8,rLED5,rLED21,LED2,rLED11,LED14,rLED13,LED20,LED4";"YS-SK6812MINI-E";46;"YS-SK6812MINI-E";;;
11;"rC10,rC9,rC4,rC12,C4,C10,C15,C9,rC15,rC14,C13,rC3,C3,C14,C12,rC13,rC7,C7";"C_0402_1005Metric";18;"100n";;;
12;"rR3,R3,rR6,R6";"R_0402_1005Metric";4;"1k";;;
13;"C16,C5,C8,rC16,rC8,rC5";"C_0402_1005Metric";6;"1u";;;
14;"R8,rR8";"R_0402_1005Metric";2;"5.6k";;;
15;"R7,rR7";"R_0402_1005Metric";2;"10k";;;
16;"rSMDSW1,SMDSW2,rSMDSW2,SMDSW1";"TS-1088R-02026";4;"TS-1088R-02026";;;
17;"rY1,Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";2;"12MHz 18pF";;;
18;"rD1,D1";"D_SOD-523";2;"1N4148WT";;;
19;"U3,rU3";"USON-10_2.5x1.0mm_P0.5mm";2;"TPD4E05U06DQAR";;;
20;"U2,rU2";"SOT-223-3_TabPin2";2;"NCP1117LPST33T3G";;;
21;"C11,rC11,rC6,C6";"C_0402_1005Metric";4;"10u";;;
22;"R1,rR1,rR2,R2";"R_0402_1005Metric";4;"5.1k";;;
23;"R5,rR4,R4,rR5";"R_0402_1005Metric";4;"27";;;
24;"rU4,U4";"SOIC-8_5.23x5.23mm_P1.27mm";2;"W25Q128JVSIQ";;;
25;"rSW1,SW1";"keyswitch_choc12_hotswap_1.5u";2;"SW_Push";;;
26;"rJ2,J2";"PJ-398A-5A_PJ-399B-6A";2;"TRS";;;
27;"rR9,R9";"R_0402_1005Metric";2;"10K";;;
28;"rU1,U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";2;"RP2040";;;
29;"J1,rJ1";"TYPE-C-31-M-13C";2;"TYPE-C-31-M-13C";;;
