Designator,Mid X,Mid Y,Rotation,Layer
BT1,-258.095865,59.163963,0.0,top
BT2,-219.995865,59.163963,0.0,top
BT3,-270.120865,-23.217912,0.0,top
BT4,-283.470865,-23.167912,0.0,top
C1,-240.185865,-12.212237,0.0,bottom
C10,-252.215863,-0.502237,90.0,bottom
C11,-222.465865,-0.962237,90.0,bottom
C12,-247.965863,2.857713,0.0,bottom
C13,-247.965863,3.927713,0.0,bottom
C14,-236.895865,2.652763,180.0,bottom
C15,-243.275865,5.516463,90.0,bottom
C16,-226.970865,-0.932287,0.0,bottom
C2,-242.345865,-12.252237,180.0,bottom
C3,-245.720863,-6.423537,270.0,bottom
C4,-242.250863,5.516463,90.0,bottom
C5,-246.465865,5.526463,90.0,bottom
C6,-207.525865,-3.722237,90.0,bottom
C7,-244.570863,-6.423537,270.0,bottom
C8,-247.505865,5.526463,90.0,bottom
C9,-234.620865,-3.583537,180.0,bottom
D1,-193.370865,42.767713,180.0,bottom
J1,-179.895865,51.821463,180.0,bottom
J2,-177.0645,39.35,90.0,bottom
J3,-179.120867,21.94,0.0,top
LED1,-191.205865,-12.923537,293.88,bottom
LED10,-239.045865,17.957713,0.0,bottom
LED11,-239.045865,37.007713,0.0,bottom
LED12,-239.045865,56.057713,0.0,bottom
LED13,-258.095865,53.676463,0.0,bottom
LED14,-258.095865,34.626463,0.0,bottom
LED15,-258.095865,15.576463,0.0,bottom
LED16,-258.083367,-6.554787,0.0,bottom
LED17,-277.158367,-8.304787,0.0,bottom
LED18,-277.145865,10.813963,0.0,bottom
LED19,-277.145865,29.863963,0.0,bottom
LED2,-200.945865,13.195213,0.0,bottom
LED20,-277.145865,48.913963,0.0,bottom
LED21,-296.195865,48.913963,0.0,bottom
LED22,-296.195865,29.863963,0.0,bottom
LED23,-296.195865,10.813963,0.0,bottom
LED3,-200.945865,32.245213,0.0,bottom
LED4,-200.945865,51.295213,0.0,bottom
LED5,-219.995865,53.676463,0.0,bottom
LED6,-219.995865,34.626463,0.0,bottom
LED7,-219.995865,15.576463,0.0,bottom
LED8,-207.725865,-8.123537,11.939999999999998,bottom
LED9,-229.520865,-5.843537,0.0,bottom
R1,-187.025865,52.346463,270.0,bottom
R2,-172.735865,52.306463,270.0,bottom
R3,-242.745865,-6.712237,180.0,bottom
R4,-244.340863,5.506463,270.0,bottom
R5,-245.405865,5.506463,90.0,bottom
R6,-254.425863,-0.512287,270.0,bottom
R7,-253.325863,-0.512287,270.0,bottom
R8,-190.390865,50.811463,0.0,bottom
R9,-190.430865,52.451463,180.0,bottom
RE1,-177.920867,26.25,0.0,top
RE1-2,-187.458367,28.55,270.0,top
RE1-3,-243.720867,-13.742287,180.0,top
RE2,-177.920867,12.95,0.0,top
RE2-2,-187.458367,12.55,270.0,top
RE2-3,-243.720867,-16.692287,0.0,top
SMDSW1,-262.575865,-0.308537,270.0,bottom
SMDSW2,-258.725865,-0.308537,270.0,bottom
SW1,-186.8645,-14.85,293.88,bottom
SW10,-239.045865,13.220213,0.0,bottom
SW11,-239.045865,32.270213,0.0,bottom
SW12,-239.045865,51.320213,0.0,bottom
SW13,-258.095865,48.938963,0.0,bottom
SW14,-258.095865,29.888963,0.0,bottom
SW15,-258.095865,10.838963,0.0,bottom
SW16,-258.095865,-11.304787,0.0,bottom
SW17,-277.145865,-13.054787,0.0,bottom
SW18,-277.145865,6.076463,0.0,bottom
SW19,-277.145865,25.126463,0.0,bottom
SW2,-200.945865,8.457713,0.0,bottom
SW20,-277.145865,44.176463,0.0,bottom
SW21,-296.195865,44.176463,0.0,bottom
SW22,-296.195865,25.126463,0.0,bottom
SW23,-296.195865,6.076463,0.0,bottom
SW3,-200.945865,27.507713,0.0,bottom
SW4,-200.945865,46.557713,0.0,bottom
SW5,-219.995865,48.938963,0.0,bottom
SW6,-219.995865,29.888963,0.0,bottom
SW7,-219.995865,10.838963,0.0,bottom
SW8,-208.706339,-12.768964,11.938999999999993,bottom
SW9,-229.520865,-10.592287,0.0,bottom
U1,-242.215865,-0.607237,90.0,bottom
U2,-217.455865,-1.447237,180.0,bottom
U3,-190.260865,48.542763,90.0,bottom
U4,-230.100865,2.392713,90.0,bottom
Y1,-241.545865,-9.222237,0.0,bottom
ZD1,-188.575857,51.583963,270.0,bottom
rBT1,-75.633135,59.163963,0.0,top
rBT2,-113.733133,59.163963,0.0,top
rBT3,-50.283135,-23.217912,0.0,top
rBT4,-63.583135,-23.217912,0.0,top
rC1,-91.458133,-12.252287,0.0,bottom
rC10,-98.603135,-1.168537,0.0,bottom
rC11,-109.418133,-0.422287,270.0,bottom
rC12,-102.773135,3.016463,0.0,bottom
rC13,-102.773135,4.066463,0.0,bottom
rC14,-87.433135,6.066463,90.0,bottom
rC15,-97.918135,5.896463,90.0,bottom
rC16,-106.733135,26.816463,180.0,bottom
rC2,-93.618133,-12.292287,180.0,bottom
rC3,-96.068133,-6.932287,270.0,bottom
rC4,-91.528135,4.846463,180.0,bottom
rC5,-101.188135,5.896463,90.0,bottom
rC6,-119.908135,1.396463,270.0,bottom
rC7,-94.988133,-6.932287,270.0,bottom
rC8,-102.783135,5.126463,0.0,bottom
rC9,-81.608127,-0.246037,90.0,bottom
rD1,-138.973135,34.166463,0.0,bottom
rJ1,-153.833135,51.821463,180.0,bottom
rJ2,-156.6645,39.35,270.0,bottom
rJ3,-154.608133,21.94,0.0,top
rLED1,-142.521715,-12.916606,66.12,bottom
rLED10,-94.683133,17.957713,0.0,bottom
rLED11,-94.683133,37.007713,0.0,bottom
rLED12,-94.683133,56.057713,0.0,bottom
rLED13,-75.633133,53.676463,0.0,bottom
rLED14,-75.633133,34.626463,0.0,bottom
rLED15,-75.633133,15.576463,0.0,bottom
rLED16,-75.635637,-6.564787,0.0,bottom
rLED17,-56.573137,-8.244787,0.0,bottom
rLED18,-56.583133,10.813963,0.0,bottom
rLED19,-56.583133,29.863963,0.0,bottom
rLED2,-132.783135,13.195213,0.0,bottom
rLED20,-56.583133,48.913963,0.0,bottom
rLED21,-37.533133,48.913963,0.0,bottom
rLED22,-37.533133,29.863963,0.0,bottom
rLED23,-37.533133,10.813963,0.0,bottom
rLED3,-132.783135,32.245213,0.0,bottom
rLED4,-132.783135,51.295213,0.0,bottom
rLED5,-113.733133,53.676463,0.0,bottom
rLED6,-113.733133,34.626463,0.0,bottom
rLED7,-113.733133,15.576463,0.0,bottom
rLED8,-126.002377,-8.127966,348.06,bottom
rLED9,-104.208133,-5.854787,0.0,bottom
rR1,-160.998133,52.307713,270.0,bottom
rR2,-146.698133,52.327713,270.0,bottom
rR3,-91.913133,-6.273537,180.0,bottom
rR4,-98.998135,5.906463,270.0,bottom
rR5,-100.098135,5.906463,90.0,bottom
rR6,-79.328127,-0.286037,270.0,bottom
rR7,-80.488127,-0.256037,270.0,bottom
rR8,-143.273135,50.952713,180.0,bottom
rR9,-143.283135,52.532713,0.0,bottom
rRE1,-155.808133,26.25,0.0,top
rRE1-2,-145.270633,28.55,90.0,top
rRE1-3,-90.008133,-12.742287,180.0,top
rRE2,-155.808133,12.95,0.0,top
rRE2-2,-145.270633,12.55,90.0,top
rRE2-3,-90.008133,-17.692287,0.0,top
rSMDSW1,-75.083135,-0.351287,270.0,bottom
rSMDSW2,-71.118135,-0.348537,270.0,bottom
rSW1,-146.8645,-14.85,66.12,bottom
rSW10,-94.683135,13.220213,0.0,bottom
rSW11,-94.683135,32.270213,0.0,bottom
rSW12,-94.683135,51.320213,0.0,bottom
rSW13,-75.633135,48.938963,0.0,bottom
rSW14,-75.633135,29.888963,0.0,bottom
rSW15,-75.633135,10.838963,0.0,bottom
rSW16,-75.633135,-11.304787,0.0,bottom
rSW17,-56.583135,-13.004787,0.0,bottom
rSW18,-56.583135,6.076463,0.0,bottom
rSW19,-56.583135,25.126463,0.0,bottom
rSW2,-132.783135,8.457713,0.0,bottom
rSW20,-56.583135,44.176463,0.0,bottom
rSW21,-37.533135,44.176463,0.0,bottom
